file,datetime,anomaly_score,species
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_10.250000.wav,2025-08-10 06:21:10,-0.06711204116516295,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_16.250000.wav,2025-08-10 06:21:16,-0.05881891009749857,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_16.250000.wav,2025-08-10 06:21:16,-0.05881891009749857,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_29.750000.wav,2025-08-10 06:21:29,-0.007005377331882723,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_29.750000.wav,2025-08-10 06:21:29,-0.007005377331882723,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_47.wav,2025-08-10 06:21:47,-0.0981726015072848,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_47.wav,2025-08-10 06:21:47,-0.0981726015072848,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\114\er_file_2025_08_10_06_23_01.wav,2025-08-10 06:23:01,-0.07623069472874316,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\114\er_file_2025_08_10_06_23_01.wav,2025-08-10 06:23:01,-0.07623069472874316,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\114\er_file_2025_08_10_06_25_05.250000.wav,2025-08-10 06:25:05,-0.017299745824988833,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\114\er_file_2025_08_10_06_25_05.250000.wav,2025-08-10 06:25:05,-0.017299745824988833,ploceus melanocephalus
